time,track_id,label,similarity,x1,y1,x2,y2,area_ratio
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,382,68,479,0.02147
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,382,67,479,0.02116
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,382,67,479,0.02116
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,381,65,479,0.02074
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,381,64,479,0.02042
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,381,64,479,0.02042
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,381,63,479,0.02010
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,381,62,479,0.01978
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,380,62,479,0.01998
Wed Dec  3 11:36:16 2025,22,HUMAN,0.000,0,380,62,479,0.01998
Wed Dec  3 11:36:17 2025,22,HUMAN,0.000,0,381,61,479,0.01946
Wed Dec  3 11:36:17 2025,22,HUMAN,0.000,0,380,61,479,0.01966
Wed Dec  3 11:36:17 2025,22,HUMAN,0.000,0,380,62,479,0.01998
Wed Dec  3 11:36:17 2025,22,HUMAN,0.000,0,381,62,479,0.01978
Wed Dec  3 11:36:17 2025,24,HUMAN,0.000,610,189,639,477,0.02719
Wed Dec  3 11:36:17 2025,22,HUMAN,0.000,0,381,62,479,0.01978
Wed Dec  3 11:36:17 2025,24,HUMAN,0.000,606,192,639,477,0.03062
Wed Dec  3 11:36:17 2025,24,HUMAN,0.000,618,192,639,478,0.01955
Wed Dec  3 11:36:18 2025,24,HUMAN,0.000,579,201,639,479,0.05430
Wed Dec  3 11:36:18 2025,22,HUMAN,0.000,0,381,63,479,0.02010
Wed Dec  3 11:36:18 2025,22,HUMAN,0.000,0,382,64,479,0.02021
Wed Dec  3 11:36:18 2025,24,HUMAN,0.000,578,147,639,479,0.06592
Wed Dec  3 11:36:19 2025,24,HUMAN,0.000,546,141,639,479,0.10232
Wed Dec  3 11:36:19 2025,22,HUMAN,0.000,0,382,64,479,0.02021
Wed Dec  3 11:36:20 2025,24,HUMAN,0.000,523,155,639,479,0.12234
Wed Dec  3 11:36:20 2025,22,HUMAN,0.000,0,381,64,479,0.02042
Wed Dec  3 11:36:21 2025,24,HUMAN,0.000,523,156,639,479,0.12197
Wed Dec  3 11:36:21 2025,22,HUMAN,0.000,0,381,63,479,0.02010
Wed Dec  3 11:36:22 2025,24,HUMAN,0.000,503,161,639,479,0.14078
Wed Dec  3 11:36:22 2025,22,HUMAN,0.000,0,381,64,479,0.02042
Wed Dec  3 11:36:23 2025,24,HUMAN,0.000,494,162,639,479,0.14963
Wed Dec  3 11:36:23 2025,22,HUMAN,0.000,0,381,63,479,0.02010
